truck_make,truck_model,truck_year,license_plate,color,fuel_type,transmission,weight_capacity,length,width,height,purchase_date,sale_date,status
Honda,Fit,2012,XYZ456,Orange,Electric,Automatic,8477,255,78,87,7/7/2007,2/9/2011,Active
Toyota,Land Cruiser,2003,ABC123,Aquamarine,Electric,Automatic,9047,149,84,79,11/9/2002,1/5/2012,Active
Volvo,C70,1999,ABC123,Orange,Gasoline,Manual,9460,213,75,61,2/1/2007,9/13/2019,Inactive
Saab,9-5,2007,ABC123,Orange,Gasoline,Automatic,5818,280,97,73,1/25/2017,7/8/2015,Inactive
Jensen,Interceptor,1966,DEF789,Violet,Gasoline,Automatic,7241,151,57,55,1/6/2010,5/7/2022,Inactive
Mercedes-Benz,S-Class,1990,XYZ456,Fuscia,Diesel,Automatic,5561,242,67,88,3/9/2012,4/8/2009,Inactive
Mercedes-Benz,M-Class,2002,ABC123,Orange,Diesel,Manual,2838,206,78,84,8/2/2014,7/20/2010,Active
Mercury,Grand Marquis,1999,ABC123,Purple,Diesel,Manual,9271,133,71,68,3/25/2003,8/1/2010,Active
Infiniti,M,2007,XYZ456,Fuscia,Diesel,Manual,2209,200,81,92,9/20/2003,8/2/2001,Active
Isuzu,Hombre Space,1997,XYZ456,Orange,Gasoline,Automatic,3449,192,96,79,2/8/2014,4/12/2011,Inactive
Ford,Econoline E150,1994,DEF789,Blue,Diesel,Manual,4469,138,73,55,6/20/2011,12/12/2009,Inactive
Kia,Rio,2013,ABC123,Indigo,Diesel,Automatic,7799,177,72,53,7/4/2006,6/28/2001,Active
Mazda,B-Series Plus,1999,XYZ456,Violet,Electric,Manual,8659,222,90,69,6/8/2012,1/10/2003,Active
Dodge,Charger,2009,DEF789,Green,Diesel,Manual,2756,220,63,90,7/2/2005,2/15/2002,Active
Maserati,Quattroporte,1984,DEF789,Violet,Gasoline,Manual,7861,263,54,80,11/18/2012,2/12/2002,Active
Acura,MDX,2009,ABC123,Pink,Electric,Manual,5344,124,75,66,4/9/2007,1/2/2007,Active
Nissan,Quest,2002,DEF789,Orange,Gasoline,Automatic,8933,115,84,80,2/27/2009,6/11/2015,Inactive
Pontiac,Bonneville,1995,DEF789,Goldenrod,Diesel,Manual,7526,172,69,89,4/16/2019,6/13/2015,Active
Acura,RSX,2002,XYZ456,Pink,Diesel,Manual,9855,180,77,83,4/17/2013,7/20/2002,Active
Kia,Sportage,2010,ABC123,Violet,Electric,Automatic,4459,247,90,61,7/9/2018,1/10/2021,Active
GMC,Sierra 1500,2004,DEF789,Puce,Diesel,Automatic,4267,101,81,82,4/30/2020,8/17/2011,Inactive
Dodge,Dakota,2002,XYZ456,Yellow,Diesel,Manual,1703,258,55,85,7/30/2012,12/4/2015,Inactive
Hummer,H2,2008,DEF789,Yellow,Diesel,Manual,5664,218,100,54,11/26/2004,3/5/2015,Inactive
Chrysler,200,2011,DEF789,Blue,Electric,Automatic,8018,290,50,64,7/3/2013,1/28/2019,Active
Oldsmobile,Intrigue,2001,DEF789,Goldenrod,Electric,Manual,7238,176,100,94,3/28/2011,12/21/2012,Active
Dodge,Ram Van B350,1994,DEF789,Teal,Diesel,Manual,8917,130,76,52,6/11/2010,8/21/2011,Active
Bentley,Continental Super,2010,ABC123,Aquamarine,Diesel,Manual,6537,181,84,53,10/27/2007,9/15/2021,Active
MG,MGB,1977,ABC123,Orange,Gasoline,Automatic,5225,127,73,74,8/13/2013,6/2/2022,Active
Volkswagen,GTI,2010,ABC123,Blue,Gasoline,Automatic,6697,126,87,77,5/16/2002,1/16/2009,Active
Hyundai,Veracruz,2008,DEF789,Violet,Gasoline,Manual,5204,111,64,91,10/30/2019,1/19/2017,Active
Pontiac,Grand Am,2003,XYZ456,Blue,Electric,Manual,6273,153,63,92,1/1/2013,2/22/2008,Active
Land Rover,Range Rover,2004,ABC123,Khaki,Diesel,Manual,4828,115,68,86,12/18/2002,5/21/2018,Active
Lotus,Exige,2004,DEF789,Pink,Gasoline,Manual,9263,266,80,100,8/4/2013,8/30/2022,Active
Mazda,RX-7,1990,DEF789,Orange,Electric,Automatic,6078,143,94,89,12/31/2002,7/1/2006,Inactive
Dodge,Dakota Club,1995,XYZ456,Red,Gasoline,Manual,9516,279,56,55,10/17/2021,7/18/2006,Active
Audi,100,1990,ABC123,Violet,Gasoline,Manual,2281,142,98,81,1/17/2021,12/11/2014,Active
Mercedes-Benz,C-Class,1997,ABC123,Blue,Diesel,Automatic,7049,177,80,75,8/10/2000,9/4/2014,Inactive
Isuzu,i-370,2007,ABC123,Puce,Electric,Manual,5225,251,71,89,3/27/2011,1/18/2011,Inactive
GMC,Sierra 1500,2000,DEF789,Indigo,Gasoline,Automatic,3569,165,86,93,5/27/2013,10/26/2017,Active
Ford,E250,2004,DEF789,Crimson,Gasoline,Automatic,2981,124,71,77,9/11/2020,3/30/2007,Active
Audi,Coupe GT,1986,ABC123,Crimson,Diesel,Manual,9887,145,75,66,3/19/2009,11/7/2014,Active
Chevrolet,S10,2004,ABC123,Aquamarine,Diesel,Manual,1845,260,60,90,4/5/2012,11/10/2015,Active
Buick,Century,1996,ABC123,Indigo,Diesel,Manual,9755,153,59,59,12/15/2020,9/7/2018,Active
Honda,Accord,1987,XYZ456,Aquamarine,Electric,Automatic,4627,280,81,62,6/25/2006,7/20/2009,Active
Ford,Taurus,1994,DEF789,Mauv,Diesel,Automatic,6396,173,67,76,11/21/2018,12/30/2012,Active
Jaguar,XJ Series,1995,ABC123,Indigo,Gasoline,Automatic,5746,176,74,55,7/19/2022,8/27/2019,Active
Chevrolet,Corvette,1956,XYZ456,Pink,Electric,Manual,8807,282,77,70,11/21/2004,5/14/2013,Inactive
Chevrolet,S10,1998,ABC123,Aquamarine,Diesel,Manual,1779,284,93,88,8/25/2018,10/13/2020,Active
Chevrolet,2500,1998,DEF789,Indigo,Gasoline,Manual,6771,256,63,63,6/17/2011,7/19/2000,Inactive
Mercedes-Benz,CLK-Class,1999,DEF789,Aquamarine,Diesel,Automatic,9262,246,71,90,11/28/2007,9/9/2022,Active
Ford,Escort,1994,ABC123,Orange,Gasoline,Manual,9230,220,64,54,12/4/2022,1/5/2021,Active
Rolls-Royce,Phantom,2005,ABC123,Puce,Diesel,Manual,5576,251,58,70,2/18/2005,7/27/2014,Active
Nissan,Altima,2001,XYZ456,Teal,Electric,Automatic,4571,297,54,65,5/20/2008,12/6/2008,Active
Lincoln,Navigator L,2009,ABC123,Purple,Electric,Automatic,2599,212,73,58,3/28/2018,12/3/2008,Inactive
Lexus,ES,2011,XYZ456,Red,Electric,Manual,9857,188,51,59,9/17/2018,3/31/2015,Active
Cadillac,DeVille,2002,XYZ456,Orange,Electric,Manual,2331,300,98,77,9/23/2002,5/10/2014,Active
Nissan,Datsun/Nissan Z-car,1990,ABC123,Purple,Gasoline,Automatic,1594,184,87,71,4/2/2008,1/17/2008,Active
Chevrolet,Equinox,2007,ABC123,Blue,Diesel,Automatic,8885,181,60,65,6/4/2022,6/12/2004,Inactive
Dodge,Monaco,1992,DEF789,Red,Diesel,Automatic,2282,177,85,65,12/30/2014,1/12/2004,Inactive
Pontiac,Sunfire,1999,DEF789,Violet,Diesel,Automatic,9054,240,50,69,12/4/2005,6/5/2012,Active
GMC,1500,1996,ABC123,Blue,Electric,Manual,9979,185,81,65,10/16/2018,3/29/2022,Inactive
Lexus,IS,2003,DEF789,Purple,Electric,Manual,7049,214,99,70,11/4/2021,4/21/2016,Inactive
GMC,Acadia,2012,XYZ456,Yellow,Diesel,Automatic,4578,222,72,83,11/22/2002,2/3/2006,Active
Toyota,Celica,1982,ABC123,Goldenrod,Diesel,Automatic,3531,182,57,82,8/19/2016,2/17/2018,Active
Volkswagen,Golf,1988,XYZ456,Indigo,Gasoline,Automatic,4053,228,61,79,12/2/2015,12/6/2018,Active
Ford,Festiva,1989,DEF789,Purple,Diesel,Manual,9685,262,70,100,3/21/2000,8/27/2009,Active
Buick,Rendezvous,2004,XYZ456,Fuscia,Gasoline,Manual,6251,171,73,63,4/30/2010,4/4/2001,Active
Mercury,Sable,1998,XYZ456,Fuscia,Gasoline,Manual,6269,261,76,67,11/23/2019,2/2/2002,Inactive
Volkswagen,R32,2009,DEF789,Maroon,Gasoline,Automatic,9787,193,56,83,6/1/2021,5/31/2007,Active
Ford,Fusion,2007,DEF789,Mauv,Diesel,Automatic,8761,142,100,81,1/17/2013,7/24/2007,Inactive
GMC,Suburban 2500,1999,DEF789,Puce,Electric,Manual,2535,283,75,77,10/13/2012,5/14/2001,Inactive
Dodge,Intrepid,1993,DEF789,Indigo,Gasoline,Automatic,3383,160,58,90,11/9/2001,5/3/2017,Inactive
Mazda,Mazda6,2007,ABC123,Yellow,Diesel,Manual,9692,192,52,64,3/27/2012,11/29/2014,Inactive
GMC,Yukon,2004,DEF789,Blue,Electric,Manual,5903,193,75,77,3/11/2006,9/17/2006,Active
Mercedes-Benz,S-Class,1989,ABC123,Puce,Electric,Manual,1362,181,71,69,4/20/2021,1/12/2012,Active
Toyota,Sienna,2001,DEF789,Mauv,Gasoline,Manual,7350,284,92,64,1/26/2007,4/4/2000,Inactive
Dodge,Durango,2005,DEF789,Aquamarine,Electric,Automatic,2489,278,55,92,4/5/2007,7/1/2020,Active
Suzuki,Swift,2006,XYZ456,Violet,Gasoline,Manual,2455,145,57,63,5/4/2013,2/18/2008,Active
Mercedes-Benz,G-Class,2011,DEF789,Khaki,Electric,Manual,7275,164,74,77,7/21/2014,3/18/2020,Active
Maserati,Karif,1990,XYZ456,Fuscia,Diesel,Automatic,7149,208,100,79,4/25/2016,10/21/2022,Active
Volvo,240,1993,DEF789,Green,Diesel,Manual,5250,183,70,89,9/19/2021,10/28/2017,Active
Ford,Thunderbird,1977,ABC123,Crimson,Electric,Automatic,1314,295,61,53,5/11/2006,5/17/2014,Active
Mercury,Lynx,1986,DEF789,Yellow,Electric,Manual,2149,181,100,73,2/20/2002,6/25/2001,Active
GMC,Vandura 2500,1993,ABC123,Indigo,Gasoline,Manual,6542,290,51,72,9/30/2019,10/18/2000,Active
Chevrolet,Silverado 2500,2004,DEF789,Maroon,Diesel,Manual,8005,216,72,90,11/11/2002,1/26/2021,Active
GMC,Savana 3500,2008,DEF789,Pink,Electric,Automatic,5203,172,97,86,1/26/2001,3/21/2007,Active
Ford,F450,2012,DEF789,Indigo,Electric,Manual,5164,215,75,84,1/28/2017,12/5/2002,Active
Mercedes-Benz,SLK-Class,2002,ABC123,Pink,Gasoline,Automatic,1459,273,58,98,12/11/2015,12/23/2022,Inactive
Geo,Metro,1995,DEF789,Maroon,Gasoline,Manual,6399,288,88,69,1/30/2002,2/5/2000,Inactive
Ford,Escort,1998,DEF789,Turquoise,Diesel,Automatic,3038,237,52,93,6/25/2001,7/24/2018,Active
Volvo,V50,2008,XYZ456,Purple,Gasoline,Automatic,7120,113,70,59,9/21/2004,3/14/2012,Active
Toyota,MR2,1985,XYZ456,Yellow,Gasoline,Automatic,8003,252,76,62,6/10/2003,12/13/2017,Active
GMC,Canyon,2004,XYZ456,Green,Electric,Manual,3553,177,51,55,11/19/2019,10/11/2000,Active
Mercedes-Benz,M-Class,2000,DEF789,Teal,Electric,Manual,4164,180,83,96,9/5/2021,4/8/2017,Active
Chrysler,New Yorker,1994,DEF789,Mauv,Gasoline,Manual,7608,228,89,93,4/28/2019,3/12/2001,Active
Honda,Passport,1994,XYZ456,Yellow,Diesel,Manual,5568,105,81,65,8/29/2000,3/7/2000,Inactive
Chevrolet,Malibu,2006,ABC123,Maroon,Gasoline,Manual,7736,133,77,72,7/11/2019,12/30/2018,Active
Ford,Explorer Sport Trac,2001,XYZ456,Yellow,Electric,Automatic,2199,275,72,97,5/30/2002,2/14/2015,Inactive
Plymouth,Laser,1994,XYZ456,Green,Electric,Automatic,5835,139,57,50,1/3/2007,6/22/2011,Active
Mazda,626,1994,ABC123,Purple,Electric,Manual,9181,275,80,82,1/23/2018,9/4/2010,Active
Mercury,Capri,1984,ABC123,Teal,Diesel,Automatic,5800,291,99,53,9/6/2020,11/18/2014,Inactive
Hummer,H3T,2010,ABC123,Pink,Gasoline,Automatic,6417,249,84,71,9/12/2019,1/7/2019,Active
Ford,Festiva,1988,DEF789,Maroon,Gasoline,Manual,1180,179,91,53,9/14/2013,7/22/2021,Active
Jaguar,X-Type,2007,DEF789,Orange,Diesel,Automatic,7897,130,59,54,6/30/2002,6/17/2006,Active
Toyota,Camry,2003,DEF789,Violet,Diesel,Automatic,6878,173,97,72,8/2/2011,3/30/2015,Active
Volvo,C70,2012,DEF789,Blue,Diesel,Manual,6705,198,69,86,1/14/2001,4/24/2005,Inactive
Hyundai,Tiburon,1999,DEF789,Green,Gasoline,Automatic,3435,118,82,99,8/23/2016,11/1/2015,Active
Buick,Riviera,1985,ABC123,Violet,Diesel,Automatic,2308,140,89,100,12/12/2013,4/28/2018,Inactive
Chrysler,300,2010,XYZ456,Red,Gasoline,Manual,3233,161,91,68,7/26/2018,11/27/2015,Active
Mazda,626,1997,XYZ456,Pink,Diesel,Automatic,5023,111,100,75,6/9/2007,11/22/2022,Active
Panoz,Esperante,2008,ABC123,Blue,Electric,Manual,7691,280,83,93,12/4/2008,10/18/2003,Active
Mercury,Cougar,2000,XYZ456,Crimson,Electric,Manual,7637,280,84,98,10/30/2016,10/6/2020,Active
Audi,S5,2012,XYZ456,Violet,Electric,Manual,3506,133,71,89,7/24/2018,2/6/2017,Active
Volkswagen,Rabbit,2008,DEF789,Aquamarine,Electric,Manual,2223,106,80,86,12/11/2002,8/1/2002,Active
Lexus,LS Hybrid,2010,DEF789,Aquamarine,Electric,Automatic,7616,228,92,59,12/12/2002,7/6/2010,Active
Chevrolet,Malibu,2013,ABC123,Puce,Diesel,Manual,9984,158,76,76,12/8/2007,9/30/2009,Inactive
Mercedes-Benz,R-Class,2011,DEF789,Goldenrod,Gasoline,Automatic,9127,205,58,50,2/5/2002,8/10/2012,Active
Volkswagen,Eurovan,1997,DEF789,Pink,Electric,Manual,7100,224,90,76,1/2/2007,3/27/2010,Active
Porsche,Carrera GT,2005,DEF789,Teal,Gasoline,Manual,4387,109,91,52,12/30/2004,4/2/2018,Active
Mitsubishi,Galant,2000,XYZ456,Maroon,Diesel,Manual,8739,162,91,56,4/6/2017,7/6/2008,Inactive
Audi,Cabriolet,1998,ABC123,Mauv,Electric,Manual,9679,154,91,99,1/26/2012,4/9/2009,Active
Maybach,62,2012,ABC123,Pink,Gasoline,Manual,7473,272,78,63,9/23/2001,11/3/2012,Inactive
Audi,S8,2008,XYZ456,Orange,Gasoline,Automatic,4757,280,92,51,6/8/2014,12/3/2010,Active
Mitsubishi,Mighty Max,1995,DEF789,Blue,Diesel,Automatic,3487,246,74,73,11/8/2021,2/3/2011,Active
Mazda,Mazda6 Sport,2006,XYZ456,Aquamarine,Gasoline,Automatic,1658,126,73,88,5/3/2010,3/18/2014,Active
Plymouth,Neon,1996,DEF789,Blue,Diesel,Automatic,5304,270,92,60,12/4/2016,12/20/2001,Inactive
GMC,Safari,1995,ABC123,Puce,Gasoline,Automatic,9597,273,68,86,11/8/2011,12/3/2006,Inactive
Kia,Sportage,2000,ABC123,Khaki,Diesel,Automatic,5463,147,59,73,1/31/2010,3/29/2009,Active
Hyundai,XG350,2002,DEF789,Blue,Electric,Manual,3740,296,77,78,11/12/2000,7/30/2009,Active
Honda,Ridgeline,2010,DEF789,Turquoise,Diesel,Automatic,3942,274,73,86,12/14/2020,9/18/2006,Active
Chevrolet,Corvette,1966,ABC123,Maroon,Diesel,Manual,4376,239,72,55,1/31/2001,6/1/2011,Inactive
Ford,Ranger,1992,XYZ456,Blue,Electric,Manual,3305,144,56,69,6/6/2005,2/20/2002,Active
Volkswagen,GTI,2009,XYZ456,Violet,Diesel,Automatic,2308,286,81,80,8/2/2000,11/11/2022,Active
Lexus,LS Hybrid,2011,ABC123,Teal,Gasoline,Automatic,3771,117,71,55,5/31/2013,4/19/2019,Inactive
Volvo,XC70,2010,DEF789,Mauv,Electric,Manual,3951,138,78,58,10/28/2004,9/16/2017,Active
Toyota,4Runner,2000,DEF789,Pink,Electric,Manual,5579,118,72,62,1/26/2014,8/15/2016,Active
GMC,Yukon,2012,XYZ456,Fuscia,Electric,Manual,4520,116,65,97,2/18/2011,10/10/2021,Active
Ford,Fusion,2009,DEF789,Fuscia,Electric,Automatic,3330,140,77,66,2/1/2005,6/28/2011,Active
Toyota,Camry Solara,2006,ABC123,Purple,Diesel,Manual,3160,291,91,79,2/16/2006,10/13/2000,Inactive
BMW,760,2005,DEF789,Khaki,Gasoline,Manual,1803,209,83,63,6/3/2017,12/22/2008,Active
Kia,Sportage,2009,XYZ456,Mauv,Gasoline,Manual,2387,187,78,71,6/29/2006,5/24/2011,Active
Oldsmobile,88,1995,DEF789,Green,Gasoline,Manual,4043,295,63,58,4/5/2011,2/13/2001,Active
Oldsmobile,98,1992,ABC123,Goldenrod,Diesel,Manual,8481,167,91,87,6/8/2019,10/11/2006,Inactive
Toyota,Corolla,1998,DEF789,Red,Diesel,Automatic,7651,101,94,58,3/7/2012,8/24/2011,Active
GMC,Sierra 1500,1999,DEF789,Khaki,Gasoline,Manual,8678,107,59,66,8/7/2020,6/1/2002,Inactive
Pontiac,Grand Prix,1972,ABC123,Khaki,Gasoline,Manual,2573,238,76,90,2/24/2000,11/1/2011,Active
Nissan,GT-R,2013,XYZ456,Indigo,Electric,Automatic,3982,166,50,80,12/23/2016,4/24/2013,Active
Mercedes-Benz,E-Class,2008,DEF789,Crimson,Gasoline,Automatic,7301,194,84,80,8/17/2006,11/12/2004,Inactive
Oldsmobile,Bravada,2002,XYZ456,Yellow,Diesel,Manual,6755,226,64,75,12/23/2010,11/7/2016,Active
Volvo,S40,2007,XYZ456,Fuscia,Diesel,Manual,8877,190,81,69,1/25/2019,1/11/2021,Active
Land Rover,Sterling,1991,ABC123,Goldenrod,Diesel,Manual,7494,203,50,100,12/30/2013,10/1/2022,Active
Buick,Lucerne,2010,ABC123,Aquamarine,Electric,Automatic,7152,221,90,83,9/4/2010,11/2/2013,Active
Porsche,944,1985,DEF789,Teal,Diesel,Manual,9221,144,63,64,12/2/2018,10/31/2001,Active
Chevrolet,Express 1500,2001,DEF789,Crimson,Gasoline,Manual,6428,274,63,58,6/30/2002,3/7/2015,Active
Oldsmobile,Alero,2002,XYZ456,Puce,Diesel,Automatic,4380,184,64,63,4/1/2008,5/16/2013,Active
Audi,riolet,1998,DEF789,Red,Diesel,Automatic,5080,191,82,61,8/12/2014,9/3/2007,Active
Saab,9-3,2012,ABC123,Crimson,Gasoline,Manual,4749,196,50,61,7/11/2010,5/29/2021,Active
GMC,Sonoma Club Coupe,1998,XYZ456,Puce,Electric,Automatic,4320,215,66,85,4/30/2003,5/4/2015,Inactive
Nissan,Murano,2003,ABC123,Goldenrod,Diesel,Manual,6091,219,97,67,7/14/2022,7/24/2004,Active
Chevrolet,Suburban 2500,2009,XYZ456,Violet,Electric,Automatic,4265,197,81,83,10/28/2013,11/27/2015,Inactive
Chevrolet,Camaro,1969,DEF789,Orange,Gasoline,Manual,5804,158,89,67,9/11/2014,7/4/2010,Inactive
Saturn,VUE,2002,DEF789,Violet,Gasoline,Automatic,5888,162,68,75,3/9/2000,12/15/2003,Active
Jeep,Wrangler,2010,ABC123,Mauv,Gasoline,Manual,4686,285,95,50,3/27/2003,2/8/2020,Active
Dodge,Caravan,1993,DEF789,Purple,Electric,Automatic,5404,216,51,84,5/13/2022,3/22/2022,Inactive
Pontiac,Grand Prix,1996,DEF789,Green,Electric,Manual,9799,254,70,66,1/3/2006,8/7/2008,Active
Toyota,Avalon,2002,XYZ456,Green,Gasoline,Manual,4176,222,78,75,2/19/2004,9/2/2019,Inactive
Buick,Roadmaster,1991,DEF789,Purple,Diesel,Manual,7933,216,95,89,1/25/2000,7/15/2019,Inactive
Infiniti,QX,2008,DEF789,Goldenrod,Diesel,Automatic,8846,228,79,99,11/9/2001,9/23/2009,Active
Oldsmobile,88,1992,ABC123,Aquamarine,Diesel,Manual,4744,279,60,59,5/26/2019,1/2/2011,Active
Dodge,Caravan,2011,ABC123,Crimson,Diesel,Automatic,5000,151,64,86,11/29/2011,5/29/2009,Active
Land Rover,Defender 90,1997,XYZ456,Crimson,Gasoline,Manual,4240,224,96,66,8/7/2008,11/19/2001,Active
GMC,Savana 3500,2004,XYZ456,Purple,Electric,Manual,2240,295,71,73,3/12/2001,7/13/2017,Active
Volkswagen,Type 2,1987,XYZ456,Goldenrod,Electric,Automatic,8606,213,60,66,4/22/2017,11/11/2016,Inactive
Ford,Explorer,2000,ABC123,Red,Electric,Manual,4745,272,75,76,7/29/2022,6/25/2021,Inactive
Buick,Park Avenue,1998,DEF789,Green,Gasoline,Automatic,7344,133,82,79,4/9/2012,3/19/2018,Active
Mitsubishi,Montero,2006,ABC123,Crimson,Electric,Manual,1539,124,57,90,11/30/2006,2/22/2015,Active
Lexus,LS,1994,ABC123,Maroon,Diesel,Automatic,7742,182,93,68,8/23/2014,5/28/2012,Inactive
Chevrolet,3500,1999,XYZ456,Orange,Gasoline,Manual,1355,187,67,99,12/19/2001,2/6/2012,Active
Volvo,940,1994,DEF789,Turquoise,Gasoline,Automatic,1322,135,78,91,1/27/2012,3/31/2016,Active
Subaru,Outback Sport,2002,ABC123,Indigo,Electric,Manual,7846,172,74,60,5/3/2021,1/31/2001,Active
Maybach,62,2004,DEF789,Violet,Diesel,Manual,4672,114,82,60,9/3/2018,5/24/2016,Inactive
Dodge,Ram 1500,2007,ABC123,Aquamarine,Diesel,Manual,5240,241,81,71,2/13/2013,5/5/2022,Active
Ford,LTD Crown Victoria,1986,DEF789,Crimson,Diesel,Automatic,7889,161,77,87,5/28/2000,9/20/2016,Active
Mitsubishi,Diamante,2005,XYZ456,Purple,Gasoline,Automatic,3216,218,75,75,11/28/2014,5/31/2012,Inactive
Pontiac,Montana,2001,DEF789,Maroon,Electric,Automatic,3141,145,80,69,8/26/2006,1/8/2009,Active
GMC,1500 Club Coupe,1993,DEF789,Purple,Gasoline,Automatic,9063,108,68,65,3/26/2012,4/2/2015,Active
Porsche,Cayenne,2006,ABC123,Turquoise,Gasoline,Automatic,9588,241,82,87,1/13/2017,9/22/2003,Inactive
Audi,A6,1999,DEF789,Pink,Diesel,Automatic,6002,267,53,51,6/17/2006,11/21/2012,Active
Nissan,240SX,1995,DEF789,Khaki,Diesel,Manual,1297,258,87,53,6/21/2004,6/14/2010,Inactive
Kia,Optima,2007,XYZ456,Crimson,Gasoline,Manual,4274,124,73,58,2/3/2014,4/18/2002,Active
Volvo,S60,2002,ABC123,Orange,Gasoline,Manual,6149,242,94,84,6/1/2018,7/6/2016,Inactive
Plymouth,Colt Vista,1993,DEF789,Orange,Electric,Automatic,9351,164,82,92,2/3/2012,1/14/2003,Active
Toyota,MR2,2002,ABC123,Mauv,Diesel,Manual,3058,276,60,59,5/22/2006,7/7/2015,Active
Acura,Integra,1993,XYZ456,Violet,Gasoline,Manual,2927,147,78,50,2/11/2017,6/8/2017,Inactive
Cadillac,XLR,2007,DEF789,Violet,Electric,Automatic,7298,124,91,54,9/25/2002,1/4/2017,Inactive
Ford,F-Series Super Duty,2008,ABC123,Maroon,Diesel,Automatic,1203,142,68,99,5/29/2015,2/18/2012,Inactive
Volkswagen,GLI,2008,ABC123,Maroon,Electric,Automatic,3424,213,86,78,5/17/2009,12/5/2014,Active
GMC,Yukon XL 1500,2005,ABC123,Violet,Electric,Manual,6879,179,100,74,12/13/2012,8/13/2012,Active
GMC,Yukon XL,2006,XYZ456,Red,Diesel,Manual,8142,198,56,89,1/6/2012,3/19/2018,Inactive
Mazda,Tribute,2010,DEF789,Mauv,Diesel,Manual,1575,202,60,93,12/16/2019,12/11/2005,Active
Subaru,XT,1990,XYZ456,Teal,Electric,Manual,1627,255,71,63,7/2/2015,11/14/2013,Inactive
Plymouth,Grand Voyager,1998,ABC123,Orange,Gasoline,Automatic,7090,300,57,98,2/8/2011,3/13/2001,Active
Mercedes-Benz,E-Class,1996,DEF789,Indigo,Gasoline,Automatic,8749,106,64,99,8/12/2020,8/5/2017,Active
Oldsmobile,Cutlass Supreme,1996,XYZ456,Indigo,Diesel,Automatic,1897,282,74,87,11/1/2012,11/2/2000,Inactive
Jaguar,XJ Series,1998,DEF789,Mauv,Diesel,Automatic,3953,179,73,60,2/6/2001,11/28/2013,Active
Ford,Explorer Sport Trac,2001,ABC123,Crimson,Electric,Manual,3848,138,100,86,12/17/2022,11/28/2018,Active
Honda,Pilot,2006,ABC123,Purple,Diesel,Automatic,9526,179,65,76,6/1/2013,10/29/2004,Inactive
Suzuki,SJ,1992,XYZ456,Goldenrod,Gasoline,Manual,2457,300,64,88,3/23/2017,7/18/2002,Inactive
Volvo,S80,2008,DEF789,Violet,Gasoline,Automatic,1135,129,52,64,12/17/2021,4/19/2003,Active
Suzuki,Sidekick,1997,ABC123,Turquoise,Electric,Automatic,9035,199,66,86,9/4/2000,6/6/2022,Active
Isuzu,Ascender,2008,ABC123,Puce,Electric,Automatic,8325,182,61,97,4/10/2020,5/25/2012,Inactive
Chevrolet,Cavalier,1996,ABC123,Teal,Diesel,Manual,5374,129,85,85,8/22/2010,11/11/2011,Active
Mercedes-Benz,SLK-Class,2009,DEF789,Fuscia,Diesel,Manual,8440,244,92,51,4/28/2008,2/9/2022,Active
Scion,xA,2005,ABC123,Turquoise,Diesel,Automatic,1317,157,57,72,5/24/2017,9/7/2021,Active
Land Rover,Range Rover,2003,ABC123,Puce,Diesel,Automatic,1327,138,79,65,2/1/2009,9/22/2005,Active
Land Rover,Freelander,2001,ABC123,Purple,Gasoline,Automatic,5648,282,88,59,2/15/2006,8/20/2003,Active
Toyota,Sequoia,2009,ABC123,Teal,Gasoline,Automatic,6892,253,61,74,5/12/2012,10/21/2020,Active
Mitsubishi,Pajero,1995,DEF789,Aquamarine,Diesel,Automatic,2239,218,72,93,2/23/2005,10/17/2002,Active
Chevrolet,Express 3500,2010,XYZ456,Purple,Electric,Manual,5408,123,80,74,1/12/2003,2/22/2005,Active
Nissan,Xterra,2004,ABC123,Purple,Diesel,Manual,7180,262,89,89,4/25/2017,4/6/2019,Active
Suzuki,Grand Vitara,2003,XYZ456,Khaki,Gasoline,Automatic,8190,284,71,76,11/21/2013,10/7/2006,Inactive
Toyota,MR2,1985,XYZ456,Green,Diesel,Manual,5319,145,70,77,7/15/2006,9/3/2011,Active
Acura,MDX,2010,DEF789,Khaki,Gasoline,Automatic,7450,287,82,63,3/28/2009,7/20/2020,Inactive
Land Rover,Discovery,2000,ABC123,Maroon,Electric,Automatic,5808,206,89,92,10/20/2011,8/5/2008,Inactive
Jaguar,XK,2007,DEF789,Maroon,Diesel,Automatic,2666,182,98,52,11/4/2001,12/4/2012,Active
Chrysler,PT Cruiser,2009,XYZ456,Maroon,Diesel,Automatic,3911,241,64,84,6/6/2018,5/2/2010,Inactive
Citroën,SM,1972,DEF789,Aquamarine,Electric,Manual,5645,114,66,80,8/8/2012,10/13/2008,Active
Mitsubishi,Diamante,1996,XYZ456,Teal,Electric,Manual,9628,151,95,97,3/12/2002,1/23/2021,Inactive
Audi,A6,1995,ABC123,Aquamarine,Gasoline,Automatic,5027,245,56,86,4/24/2018,2/2/2002,Active
Subaru,Tribeca,2008,DEF789,Goldenrod,Electric,Automatic,4028,219,60,62,5/4/2012,8/10/2012,Active
Toyota,Tacoma,2008,ABC123,Violet,Electric,Manual,1944,204,70,52,1/21/2007,5/15/2007,Inactive
Ford,E150,2007,ABC123,Crimson,Diesel,Manual,7148,268,58,50,10/14/2011,2/2/2003,Inactive
Ford,Explorer Sport Trac,2007,XYZ456,Fuscia,Electric,Automatic,5085,299,54,78,1/18/2004,10/9/2022,Active
